Time,CO2,Humidity,PM10,PM2.5,Temperature,TVOC
2024-02-21 12:00:00,1048 ppm,78.4 %H,14 μg/m³,13.2 μg/m³,23.3 °C,0.750 ppm
2024-02-21 13:00:00,950 ppm,78.8 %H,13.8 μg/m³,13.5 μg/m³,23.3 °C,0.532 ppm
2024-02-21 14:00:00,854 ppm,78.4 %H,15.2 μg/m³,14.3 μg/m³,23.2 °C,0.432 ppm
2024-02-21 15:00:00,834 ppm,78.1 %H,12.5 μg/m³,12.2 μg/m³,23.2 °C,0.378 ppm
2024-02-21 16:00:00,1021 ppm,77.7 %H,11.3 μg/m³,10.7 μg/m³,23.1 °C,0.575 ppm
2024-02-21 17:00:00,1147 ppm,78.8 %H,9.83 μg/m³,9.67 μg/m³,23.0 °C,0.787 ppm
2024-02-21 18:00:00,1207 ppm,79.5 %H,9.33 μg/m³,8.50 μg/m³,23.2 °C,0.952 ppm
2024-02-21 19:00:00,1223 ppm,80.3 %H,8.50 μg/m³,8.33 μg/m³,23.2 °C,0.965 ppm
2024-02-21 20:00:00,1100 ppm,80.2 %H,12.2 μg/m³,10.5 μg/m³,23.5 °C,0.752 ppm
2024-02-21 21:00:00,1019 ppm,79.7 %H,12.7 μg/m³,11.2 μg/m³,23.8 °C,0.625 ppm
2024-02-21 22:00:00,955 ppm,79.5 %H,13.8 μg/m³,12.8 μg/m³,23.9 °C,0.582 ppm
2024-02-21 23:00:00,901 ppm,79.5 %H,12 μg/m³,10.8 μg/m³,23.9 °C,0.492 ppm
2024-02-22 00:00:00,858 ppm,79.5 %H,12.5 μg/m³,11.3 μg/m³,24 °C,0.477 ppm
2024-02-22 01:00:00,810 ppm,79.5 %H,12 μg/m³,11.5 μg/m³,24 °C,0.385 ppm
2024-02-22 02:00:00,772 ppm,79.5 %H,10.8 μg/m³,10.5 μg/m³,24.1 °C,0.470 ppm
2024-02-22 03:00:00,744 ppm,79.5 %H,12 μg/m³,11.7 μg/m³,24.1 °C,0.407 ppm
2024-02-22 04:00:00,717 ppm,79.5 %H,12.7 μg/m³,11.7 μg/m³,24.1 °C,0.470 ppm
2024-02-22 05:00:00,695 ppm,79.5 %H,12.2 μg/m³,11.3 μg/m³,24.1 °C,0.338 ppm
2024-02-22 06:00:00,672 ppm,79.5 %H,11.5 μg/m³,11 μg/m³,24.2 °C,0.383 ppm
2024-02-22 07:00:00,656 ppm,79.5 %H,11 μg/m³,10.8 μg/m³,24.2 °C,0.392 ppm
2024-02-22 08:00:00,660 ppm,79.2 %H,11.2 μg/m³,10.7 μg/m³,23.5 °C,0.422 ppm
2024-02-22 09:00:00,729 ppm,79.9 %H,14.2 μg/m³,12.8 μg/m³,23.3 °C,0.532 ppm
2024-02-22 10:00:00,906 ppm,79.7 %H,14.2 μg/m³,13.5 μg/m³,23.2 °C,0.708 ppm
2024-02-22 11:00:00,1030 ppm,79.3 %H,13.3 μg/m³,12.8 μg/m³,23.1 °C,0.632 ppm
2024-02-22 12:00:00,1212 ppm,78.4 %H,13.2 μg/m³,12.8 μg/m³,23.1 °C,0.590 ppm
2024-02-22 13:00:00,1316 ppm,78.5 %H,12.8 μg/m³,12.7 μg/m³,23.2 °C,0.557 ppm
2024-02-22 14:00:00,1148 ppm,78.6 %H,16.2 μg/m³,15.2 μg/m³,23.3 °C,0.485 ppm
